location,areaName,communityName,roomType,houseTotalMoney,houseType,houseFloor,houseBuildingArea,houseStructure,houseAgeLimit,houseBuildingStructure,houseBuildingType,houseDecoration,houseInnerArea,houseElevator,houseElevatorRatio,houseLastTrade,houseOrientation,houseListDate,housePledge,housePrivilege,houseUsage,housePrivilegeProperty,houseTradeProperty,houseTitle,houseUrl,CrawlTime
玉洞,良庆区,恒大御景,,146万,3室2厅1厨2卫,高楼层 (共33层),122㎡,平层,暂无数据,框架结构,塔楼,精装,暂无数据,有,两梯四户,暂无数据,东南,2019-12-08,,70年,暂无数据,暂无数据,商品房,五象新区 自贸区 五象湖 恒大御景 公园旁,https://nn.lianjia.com/ershoufang/105103512003.html,2020-01-15 00:09:31
白沙星光,江南区,天筑丽城,,103万,3室2厅1厨2卫,高楼层 (共11层),91.95㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,一梯四户,暂无数据,南,2019-12-07,,70年,暂无数据,暂无数据,商品房,天筑丽城精装3房，中高楼层，户型方正，通风采光好,https://nn.lianjia.com/ershoufang/105103505628.html,2020-01-15 00:09:33
仙葫,青秀区,联发·尚品,,115万,3室2厅1厨2卫,高楼层 (共16层),120㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,有,一梯两户,暂无数据,南,2019-12-07,,70年,暂无数据,暂无数据,商品房,青秀仙葫+采光充足+交通便利+诚心出售,https://nn.lianjia.com/ershoufang/105103504765.html,2020-01-15 00:09:33
玉洞,良庆区,恒大御景,,166万,4室2厅1厨2卫,高楼层 (共33层),143㎡,平层,暂无数据,框架结构,塔楼,精装,暂无数据,有,两梯四户,暂无数据,南 北,2019-12-07,,70年,暂无数据,暂无数据,商品房,五象新区 五象湖 恒大御景 公园旁 教育,https://nn.lianjia.com/ershoufang/105103504072.html,2020-01-15 00:09:34
东盟商务区,青秀区,盛天华府,,168万,2室2厅1厨1卫,中楼层 (共22层),72㎡,平层,暂无数据,框架结构,塔楼,精装,暂无数据,有,两梯九户,暂无数据,东北,2019-12-07,,70年,暂无数据,暂无数据,商品房,地铁物业盛天华府2房出售，精装即买即住。,https://nn.lianjia.com/ershoufang/105103502443.html,2020-01-15 00:09:40
东盟商务区,青秀区,利海亚洲国际B区,,125万,2室2厅1厨1卫,高楼层 (共26层),61.77㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯十户,暂无数据,东南 南,2019-12-08,,70年,暂无数据,暂无数据,商品房,商务区万象城地铁口旁精装修两房带租约出售,https://nn.lianjia.com/ershoufang/105103510189.html,2020-01-15 00:09:41
东盟商务区,青秀区,天昌东盟中央城,,115万,1室1厅1厨1卫,低楼层 (共21层),49.57㎡,复式,暂无数据,钢混结构,板楼,精装,暂无数据,有,三梯十一户,暂无数据,南,2019-12-05,,70年,暂无数据,暂无数据,商品房,东盟商务区 东盟中  央城 精装 业主诚心,https://nn.lianjia.com/ershoufang/105103490290.html,2020-01-15 00:09:45
五一路,江南区,翠湖新城南区,,106万,5室3厅2厨2卫,高楼层 (共8层),140㎡,复式,暂无数据,钢混结构,板塔结合,简装,暂无数据,无,一梯四户,暂无数据,东南,2019-12-06,,70年,暂无数据,暂无数据,商品房,五一路翠湖新城楼中楼5房两卫，成熟小区，红本在手,https://nn.lianjia.com/ershoufang/105103500474.html,2020-01-15 00:09:45
五象文旅,良庆区,天誉花园,,150万,4室2厅1厨2卫,中楼层 (共38层),121㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,南,2019-12-05,,70年,暂无数据,暂无数据,商品房,天誉花园 四号线旁  毛坯三房价格可谈,https://nn.lianjia.com/ershoufang/105103493616.html,2020-01-15 00:09:49
玉洞,良庆区,恒大御景,,103万,3室2厅1厨1卫,中楼层 (共33层),93㎡,平层,暂无数据,框架结构,塔楼,精装,暂无数据,有,两梯四户,暂无数据,东南,2019-12-04,,70年,暂无数据,暂无数据,商品房,五象新区 良庆区 五象湖 公园旁 恒大御景,https://nn.lianjia.com/ershoufang/105103484857.html,2020-01-15 00:09:50
