location,areaName,communityName,roomType,houseTotalMoney,houseType,houseFloor,houseBuildingArea,houseStructure,houseAgeLimit,houseBuildingStructure,houseBuildingType,houseDecoration,houseInnerArea,houseElevator,houseElevatorRatio,houseLastTrade,houseOrientation,houseListDate,housePledge,housePrivilege,houseUsage,housePrivilegeProperty,houseTradeProperty,houseTitle,houseUrl,CrawlTime
仙葫,青秀区,联发·尚品,,85万,3室2厅1厨1卫,低楼层 (共18层),91.38㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,有,两梯四户,暂无数据,南 北,2019-12-05,,70年,暂无数据,暂无数据,商品房,青秀区  李宁体育馆旁  小三房  价格优惠,https://nn.lianjia.com/ershoufang/105103489993.html,2020-01-15 00:09:52
白沙星光,江南区,万达华府B区,,160万,3室2厅1厨2卫,低楼层 (共32层),99.3㎡,平层,暂无数据,钢混结构,塔楼,精装,暂无数据,有,两梯四户,暂无数据,东,2019-12-02,,70年,暂无数据,暂无数据,商品房,万达华府B区大3房诚心出售，装修保养好，证件齐全,https://nn.lianjia.com/ershoufang/105103473732.html,2020-01-15 00:09:54
白沙星光,江南区,锦绣江南,,115.5万,3室2厅1厨2卫,中楼层 (共11层),117.8㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,有,一梯四户,暂无数据,南,2019-12-01,,70年,暂无数据,暂无数据,商品房,首付26万 白沙大道旁 精装大甩卖 楼层好,https://nn.lianjia.com/ershoufang/105103467973.html,2020-01-15 00:09:58
北湖南,西乡塘区,恒大新城,,90万,3室2厅1厨2卫,低楼层 (共7层),97㎡,平层,暂无数据,钢混结构,板楼,简装,暂无数据,无,一梯两户,暂无数据,西南,2019-12-01,,70年,暂无数据,暂无数据,商品房,恒大新城~刚需三房户型方正，带装修，交通便利,https://nn.lianjia.com/ershoufang/105103469174.html,2020-01-15 00:09:58
凤岭北,青秀区,荣和山水美地4组团微笑湾,,195万,4室2厅1厨2卫,低楼层 (共18层),134.78㎡,平层,暂无数据,框架结构,塔楼,简装,暂无数据,有,两梯四户,暂无数据,东 西,2019-12-03,,70年,暂无数据,暂无数据,商品房,山水美地4组 满五无欠款 三阳台,https://nn.lianjia.com/ershoufang/105103479814.html,2020-01-15 00:09:59
琅东,青秀区,阳光100上东国际,,103万,2室2厅1厨1卫,中楼层 (共16层),73㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,一梯十户,暂无数据,南,2019-12-01,,70年,暂无数据,暂无数据,商品房,凤岭南1号线地铁口阳光100上东国际2房2厅业主诚心卖,https://nn.lianjia.com/ershoufang/105103467520.html,2020-01-15 00:10:00
龙岗,邕宁区,中铁江湾山语城,,155万,4室2厅1厨2卫,低楼层 (共43层),98.45㎡,平层,暂无数据,框架结构,塔楼,精装,暂无数据,有,两梯五户,暂无数据,南 北,2019-12-02,,70年,暂无数据,暂无数据,商品房,江湾山语城 三房精装 正常首付 装修好 恒大绿洲,https://nn.lianjia.com/ershoufang/105103473340.html,2020-01-15 00:10:00
龙岗,邕宁区,中铁江湾山语城,,159.8万,3室2厅1厨2卫,高楼层 (共37层),96㎡,平层,暂无数据,钢混结构,塔楼,精装,暂无数据,有,两梯四户,暂无数据,东南,2019-12-12,,70年,暂无数据,暂无数据,商品房,业主诚心出售自用靓房，全屋家具家电配齐，随时看房,https://nn.lianjia.com/ershoufang/105103531798.html,2020-01-15 00:10:00
白沙星光,江南区,锦绣江南,,120万,3室2厅1厨2卫,高楼层 (共18层),125㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,有,两梯四户,暂无数据,南,2019-12-11,,70年,暂无数据,暂无数据,商品房,小区绿化好  内有游泳池  有老人活动健身器材,https://nn.lianjia.com/ershoufang/105103525079.html,2020-01-15 00:10:01
五象文旅,良庆区,天誉花园,,130万,4室2厅1厨2卫,中楼层 (共35层),93㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,南,2019-12-10,,70年,暂无数据,暂无数据,商品房,优越地域，方便出行，商场能满足基本需求。,https://nn.lianjia.com/ershoufang/105103519781.html,2020-01-15 00:10:01
柳沙,青秀区,青秀山庄,,156万,3室2厅1厨1卫,中楼层 (共4层),118㎡,,暂无数据,钢混结构,,简装,暂无数据,,,暂无数据,南,2019-12-11,,70年,暂无数据,暂无数据,商品房,青秀山庄 有证 业主诚心出售 配套齐全,https://nn.lianjia.com/ershoufang/105103525503.html,2020-01-15 00:10:04
五象核心区,良庆区,绿城春江明月,,218万,3室2厅1厨2卫,高楼层 (共27层),109㎡,平层,暂无数据,钢混结构,板楼,精装,暂无数据,有,两梯三户,暂无数据,南,2019-11-18,,70年,暂无数据,暂无数据,商品房,南宁大桥头，绿城精装三房，业主年轻有为,https://nn.lianjia.com/ershoufang/105103389095.html,2020-01-15 00:10:04
凤岭北,青秀区,保利·童心缘,,139万,3室2厅1厨1卫,低楼层 (共28层),90.3㎡,平层,暂无数据,钢混结构,塔楼,精装,暂无数据,有,两梯四户,暂无数据,南,2019-12-12,,70年,暂无数据,暂无数据,商品房,凤岭北生活区  保利童心缘 小三房  配套好,https://nn.lianjia.com/ershoufang/105103532805.html,2020-01-15 00:10:05
玉洞,良庆区,恒大御景,,145万,3室2厅1厨2卫,高楼层 (共33层),128.43㎡,平层,暂无数据,框架结构,塔楼,精装,暂无数据,有,两梯四户,暂无数据,北 南,2019-12-10,,70年,暂无数据,暂无数据,商品房,恒大精装，五象湖板块  南北通透 中高楼层,https://nn.lianjia.com/ershoufang/105103523787.html,2020-01-15 00:10:05
东盟商务区,青秀区,保利21世家,,185万,2室1厅1厨1卫,低楼层 (共23层),86.34㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,南 北,2019-11-18,,70年,暂无数据,暂无数据,商品房,东盟商务 繁华地段 万象城旁  看房方便,https://nn.lianjia.com/ershoufang/105103388254.html,2020-01-15 00:10:06
白沙星光,江南区,江南馨园,,120万,3室2厅1厨2卫,低楼层 (共11层),115.74㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,暂无数据,一梯两户,暂无数据,南 北,2019-11-18,,70年,暂无数据,暂无数据,商品房,江南万达旁 温馨大三房 高保质建筑,https://nn.lianjia.com/ershoufang/105103389624.html,2020-01-15 00:10:08
仙葫,青秀区,昌泰·盛世家园,,106万,3室2厅1厨2卫,低楼层 (共18层),123.71㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,暂无数据,一梯六户,暂无数据,南 北,2019-11-17,,70年,暂无数据,暂无数据,商品房,青秀区 新航洋 精装大三房 朝南 便宜实惠,https://nn.lianjia.com/ershoufang/105103385768.html,2020-01-15 00:10:10
北湖南,兴宁区,江宇世纪城,,110万,3室2厅1厨1卫,高楼层 (共30层),86㎡,平层,暂无数据,框架结构,塔楼,其他,暂无数据,有,两梯八户,暂无数据,南,2019-11-17,,70年,暂无数据,暂无数据,商品房,江宇世纪城 3室2厅 110万,https://nn.lianjia.com/ershoufang/105103384603.html,2020-01-15 00:10:12
大沙田,良庆区,恒大绿洲,,160万,3室2厅1厨2卫,中楼层 (共28层),115㎡,平层,暂无数据,钢混结构,塔楼,精装,暂无数据,有,两梯三户,暂无数据,南 北,2019-11-17,,70年,暂无数据,暂无数据,商品房,自贸区大三房，背靠五象岭森林公园，未来可期,https://nn.lianjia.com/ershoufang/105103384096.html,2020-01-15 00:10:12
五象湖,良庆区,绿地 · 国际花都,,160万,3室2厅1厨1卫,中楼层 (共34层),84.23㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,南,2019-11-18,,70年,暂无数据,暂无数据,商品房,业主诚心出售，房子装修好，可拎包入住,https://nn.lianjia.com/ershoufang/105103386724.html,2020-01-15 00:10:12
东盟商务区,青秀区,保利21世家,,217.5万,3室2厅1厨2卫,低楼层 (共23层),120.81㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,东南,2019-11-18,,70年,暂无数据,暂无数据,商品房,繁华地段 户型方正 采光好 标准三房,https://nn.lianjia.com/ershoufang/105103388271.html,2020-01-15 00:10:12
凤岭北,青秀区,荣和·千千树,,150万,3室2厅1厨2卫,高楼层 (共33层),79.21㎡,平层,暂无数据,钢混结构,塔楼,精装,暂无数据,有,两梯五户,暂无数据,东南,2019-11-17,,70年,暂无数据,暂无数据,商品房,凤岭儿童公园 精装三房  产权清晰 满四唯一,https://nn.lianjia.com/ershoufang/105103382369.html,2020-01-15 00:10:14
五象核心区,良庆区,光明·澜湾九里,,143万,3室2厅1厨1卫,高楼层 (共33层),89㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,有,两梯四户,暂无数据,西南,2019-11-15,,70年,暂无数据,暂无数据,商品房,3出售，简装修，拎包入住，高楼层。,https://nn.lianjia.com/ershoufang/105103374394.html,2020-01-15 00:10:17
五象湖,良庆区,绿地 · 国际花都,,195万,3室2厅1厨2卫,高楼层 (共38层),92㎡,平层,暂无数据,钢混结构,塔楼,精装,暂无数据,有,两梯四户,暂无数据,南,2019-11-16,,70年,暂无数据,暂无数据,商品房,业主诚心出售，精装房，地铁口，拎包入住五象！,https://nn.lianjia.com/ershoufang/105103380224.html,2020-01-15 00:10:18
仙葫,青秀区,东城美景,,95万,3室2厅1厨2卫,高楼层 (共7层),113.47㎡,平层,暂无数据,框架结构,板塔结合,简装,暂无数据,无,一梯四户,暂无数据,南,2019-11-17,,70年,暂无数据,暂无数据,商品房,东城美景三房两厅，朝南采光好。,https://nn.lianjia.com/ershoufang/105103382561.html,2020-01-15 00:10:19
仙葫,青秀区,润和谷,,94万,3室2厅1厨2卫,中楼层 (共7层),116.83㎡,平层,暂无数据,钢混结构,板楼,简装,暂无数据,暂无数据,一梯四户,暂无数据,北,2019-11-17,,70年,暂无数据,暂无数据,商品房,青秀 仙葫 低层 装修好 业主急售,https://nn.lianjia.com/ershoufang/105103383457.html,2020-01-15 00:10:21
朝阳,兴宁区,金之岛城市广场住宅,,98万,3室2厅1厨2卫,中楼层 (共30层),106.96㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,无,一梯十一户,暂无数据,南 北,2019-11-15,,70年,暂无数据,暂无数据,商品房,金之岛城市广场住宅 3室2厅 98万,https://nn.lianjia.com/ershoufang/105103372856.html,2020-01-15 00:10:22
东盟商务区,青秀区,保利21世家,,215万,3室2厅1厨2卫,低楼层 (共23层),115㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,东南,2019-11-17,,70年,暂无数据,暂无数据,商品房,东盟商务区 业主诚心出售 精装修 家具家电全带,https://nn.lianjia.com/ershoufang/105103381855.html,2020-01-15 00:10:22
西大,西乡塘区,台湾街宜兰湾,,130万,3室2厅1厨2卫,高楼层 (共31层),91㎡,平层,暂无数据,钢混结构,塔楼,简装,暂无数据,有,两梯六户,暂无数据,南,2019-11-15,,70年,暂无数据,暂无数据,商品房,龙腾路 小区环境好 精修好 可拎包入住,https://nn.lianjia.com/ershoufang/105103373230.html,2020-01-15 00:10:22
五象湖,良庆区,合景天汇广场,,152万,3室2厅1厨1卫,中楼层 (共35层),92㎡,平层,暂无数据,钢混结构,塔楼,精装,暂无数据,有,两梯五户,暂无数据,南,2019-11-15,,70年,暂无数据,暂无数据,商品房,中间楼层品牌开发商，配套极其便利,https://nn.lianjia.com/ershoufang/105103372685.html,2020-01-15 00:10:25
大沙田,良庆区,阳光新城风林苑,,96万,3室2厅1厨2卫,高楼层 (共7层),115㎡,平层,暂无数据,钢混结构,板楼,简装,暂无数据,无,一梯两户,暂无数据,北 南,2019-11-14,,70年,暂无数据,暂无数据,商品房,首付18万，阳光房，采光好，小区清净,https://nn.lianjia.com/ershoufang/105103366401.html,2020-01-15 00:10:27
琅东,青秀区,恒大苹果园·东方诗韵,,165万,3室2厅1厨2卫,低楼层 (共18层),141㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯八户,暂无数据,东南,2019-11-16,,70年,暂无数据,暂无数据,商品房,精装三房 利用空间大 外带花园 卓立 国际,https://nn.lianjia.com/ershoufang/105103375999.html,2020-01-15 00:10:28
凤岭北,青秀区,东方皇城花园,,280万,4室2厅1厨2卫,中楼层 (共17层),186㎡,平层,暂无数据,钢混结构,暂无数据,精装,暂无数据,有,两梯四户,暂无数据,南,2019-11-14,,70年,暂无数据,暂无数据,商品房,精装修，准新房， 大四房，如你所想,https://nn.lianjia.com/ershoufang/105103367846.html,2020-01-15 00:10:28
西大,西乡塘区,茂泽大厦,,87万,3室2厅1厨1卫,高楼层 (共23层),105㎡,平层,暂无数据,未知结构,暂无数据,其他,暂无数据,暂无数据,一梯十四户,暂无数据,东南,2019-11-17,,70年,暂无数据,暂无数据,商品房,朝阳商圈，中装三房，大客厅，真实在售,https://nn.lianjia.com/ershoufang/105103382660.html,2020-01-15 00:10:32
石埠,西乡塘区,骋望 · 麓涛,,80万,3室2厅1厨1卫,中楼层 (共29层),88㎡,平层,暂无数据,钢混结构,塔楼,简装,暂无数据,有,两梯七户,暂无数据,南,2019-11-13,,70年,暂无数据,暂无数据,商品房,广艺学院旁边 骋望麓涛 小三房 首付16万 随时看房,https://nn.lianjia.com/ershoufang/105103363616.html,2020-01-15 00:10:33
白沙星光,良庆区,和居·邕江郡,,118万,3室2厅1厨2卫,低楼层 (共30层),89㎡,平层,暂无数据,钢混结构,塔楼,其他,暂无数据,有,两梯六户,暂无数据,东 东南 南,2019-12-07,,70年,暂无数据,暂无数据,商品房,和居·邕江郡 3室2厅 118万,https://nn.lianjia.com/ershoufang/105103503848.html,2020-01-15 00:10:33
东葛路,青秀区,幸福家园,,55万,1室0厅1厨1卫,高楼层 (共12层),43㎡,平层,暂无数据,钢混结构,板楼,简装,暂无数据,有,三梯二十二户,暂无数据,南,2019-09-02,,70年,暂无数据,暂无数据,商品房,幸福家园  业主诚心出售  户型方正  采光充足,https://nn.lianjia.com/ershoufang/105102958955.html,2020-01-15 00:10:35
凤岭北,青秀区,凤岭春天,,115万,2室1厅1厨1卫,低楼层 (共16层),78㎡,平层,暂无数据,框架结构,塔楼,精装,暂无数据,有,两梯十六户,暂无数据,东,2019-11-06,,50年,暂无数据,暂无数据,商品房,凤岭北 凤岭春天 业主诚心 配套齐全,https://nn.lianjia.com/ershoufang/105103322578.html,2020-01-15 00:10:37
东盟商务区,青秀区,利海亚洲国际B区,,80万,1室1厅0厨0卫,高楼层 (共29层),43.39㎡,平层,暂无数据,钢混结构,板塔结合,简装,暂无数据,有,两梯二十二户,暂无数据,南,2019-09-04,,70年,暂无数据,暂无数据,商品房,利海亚洲国际B区 1室1厅 80万,https://nn.lianjia.com/ershoufang/105102972472.html,2020-01-15 00:10:38
琅东,青秀区,莱茵湖畔,,145万,2室2厅1厨1卫,中楼层 (共12层),95㎡,平层,暂无数据,钢混结构,塔楼,精装,暂无数据,有,一梯三户,暂无数据,东南,2019-10-31,,70年,暂无数据,暂无数据,商品房,业主出国急售+地铁口+成熟小区,https://nn.lianjia.com/ershoufang/105103288292.html,2020-01-15 00:10:39
东盟商务区,青秀区,中新国际,,160万,3室2厅1厨1卫,高楼层 (共17层),87.54㎡,平层,暂无数据,混合结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,东南 南,2019-12-06,,70年,暂无数据,暂无数据,商品房,中新国际 3室2厅 160万,https://nn.lianjia.com/ershoufang/105103501693.html,2020-01-15 00:10:39
仙葫,青秀区,金地世家南区,,76万,2室2厅1厨1卫,中楼层 (共6层),89㎡,平层,暂无数据,钢混结构,板楼,简装,暂无数据,无,一梯四户,暂无数据,南,2019-12-03,,70年,暂无数据,暂无数据,商品房,青秀 东方广场  舒适大2房 出售看房方便,https://nn.lianjia.com/ershoufang/105103478907.html,2020-01-15 00:10:41
五象湖,良庆区,万科魅力之城,,170万,4室2厅1厨2卫,低楼层 (共35层),92㎡,平层,暂无数据,钢混结构,塔楼,精装,暂无数据,有,两梯六户,暂无数据,南,2019-06-26,,70年,暂无数据,暂无数据,商品房,三中房源，可遇不可求，欢迎来抢购,https://nn.lianjia.com/ershoufang/105102585733.html,2020-01-15 00:10:41
凤岭北,青秀区,江山丽园,,185万,3室2厅1厨2卫,中楼层 (共12层),125㎡,平层,暂无数据,钢混结构,板楼,精装,暂无数据,有,一梯四户,暂无数据,南,2019-11-11,,70年,暂无数据,暂无数据,商品房,埌东商圈 民族大道旁 地铁物业,https://nn.lianjia.com/ershoufang/105103347974.html,2020-01-15 00:10:42
凤岭北,青秀区,凤岭在水一方,,115万,3室2厅1厨2卫,低楼层 (共11层),100.64㎡,平层,暂无数据,钢混结构,板塔结合,其他,暂无数据,有,一梯四户,暂无数据,南,2019-12-14,,70年,暂无数据,暂无数据,商品房,凤岭在水一方 3室2厅 115万,https://nn.lianjia.com/ershoufang/105103544864.html,2020-01-15 00:10:42
琅东,青秀区,中房翡翠园A组团,,220万,4室2厅1厨2卫,低楼层 (共11层),163.9㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯两户,暂无数据,南,2019-10-03,,70年,暂无数据,暂无数据,商品房,翡翠园成熟大社区，享东盟商务区繁华配套,https://nn.lianjia.com/ershoufang/105103132005.html,2020-01-15 00:10:46
龙岗,邕宁区,昌泰水立方,,67万,2室2厅1厨1卫,中楼层 (共32层),55㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯八户,暂无数据,南,2019-09-01,,70年,暂无数据,暂无数据,商品房,五象新区-万达茂旁-太古城-精装小两房-总价低,https://nn.lianjia.com/ershoufang/105102953625.html,2020-01-15 00:10:47
凤岭北,青秀区,凤岭名园,,62万,1室0厅1厨1卫,低楼层 (共32层),40.82㎡,平层,暂无数据,钢混结构,板塔结合,其他,暂无数据,有,一梯四十四户,暂无数据,南,2019-11-26,,70年,暂无数据,暂无数据,商品房,凤岭名园 1室0厅 62万,https://nn.lianjia.com/ershoufang/105103432833.html,2020-01-15 00:10:48
凤岭北,青秀区,凤岭·新新家园A区,,78万,2室1厅1厨1卫,中楼层 (共28层),47.63㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,三梯十四户,暂无数据,南,2019-11-16,,70年,暂无数据,暂无数据,商品房,地铁1号线旁，环境绿化好，物业管理水平好。,https://nn.lianjia.com/ershoufang/105103377928.html,2020-01-15 00:10:48
柳沙,青秀区,东盟世纪村,,121万,2室1厅1厨1卫,中楼层 (共17层),88.75㎡,暂无数据,暂无数据,框架结构,板塔结合,毛坯,暂无数据,暂无数据,一梯四户,暂无数据,南 北,2019-12-22,,70年,暂无数据,暂无数据,商品房,柳沙半岛 东盟世纪村毛坯两房 满五年无欠款随时可过户,https://nn.lianjia.com/ershoufang/105103588756.html,2020-01-15 00:10:49
凤岭北,青秀区,美泉1612,,100万,1室1厅1厨1卫,中楼层 (共20层),53㎡,平层,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,三梯十三户,暂无数据,南,2019-12-11,,70年,暂无数据,暂无数据,商品房,凤岭北 美泉 精装一房一厅 精致单身公寓,https://nn.lianjia.com/ershoufang/105103524676.html,2020-01-15 00:10:51
凤岭北,青秀区,凤岭佳园,,120万,3室2厅1厨2卫,中楼层 (共18层),138㎡,平层,暂无数据,未知结构,暂无数据,精装,暂无数据,有,两梯四户,暂无数据,东,2019-11-06,,70年,暂无数据,暂无数据,商品房,凤岭北 南宁东站圈 业主诚心出售,https://nn.lianjia.com/ershoufang/105103321673.html,2020-01-15 00:10:51
五象核心区,良庆区,光明·澜湾九里,,225万,4室2厅1厨1卫,低楼层 (共31层),129.6㎡,暂无数据,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯四户,暂无数据,南,2018-12-29,,70年,暂无数据,暂无数据,商品房,五象商务区自贸区，错层江景，钥匙挂脖业主诚心出售,https://nn.lianjia.com/ershoufang/105101892703.html,2020-01-15 00:10:52
兴宁东,兴宁区,温莎堡,,218万,5室2厅1厨3卫,中楼层 (共31层),183㎡,暂无数据,暂无数据,钢混结构,板塔结合,毛坯,暂无数据,暂无数据,一梯两户,暂无数据,南 北,2019-08-12,,70年,暂无数据,暂无数据,商品房,嘉和城温莎堡  大平层   俯瞰整个嘉和城的景色,https://nn.lianjia.com/ershoufang/105102839671.html,2020-01-15 00:10:59
龙岗,邕宁区,龙域香醍半岛,,198万,5室3厅1厨3卫,高楼层 (共9层),129㎡,暂无数据,暂无数据,钢混结构,暂无数据,毛坯,暂无数据,有,一梯一户,暂无数据,东南,2019-07-06,,70年,暂无数据,暂无数据,商品房,楼中楼，双车位，近地铁，大阳台,https://nn.lianjia.com/ershoufang/105102638184.html,2020-01-15 00:11:00
五象湖,良庆区,华润二十四城,,150万,2室2厅1厨1卫,高楼层 (共53层),70㎡,暂无数据,暂无数据,钢混结构,板塔结合,其他,暂无数据,有,三梯五户,暂无数据,南,2019-12-17,,70年,暂无数据,暂无数据,商品房,华润刚需户型，看房提前预约..,https://nn.lianjia.com/ershoufang/105103561086.html,2020-01-15 00:11:00
仙葫,青秀区,龙胤凤凰城,,205万,5室2厅1厨2卫,低楼层 (共32层),160㎡,暂无数据,暂无数据,钢混结构,板楼,毛坯,暂无数据,有,两梯四户,暂无数据,南,2019-10-16,,70年,暂无数据,暂无数据,商品房,青秀区毛坯现房十户型方正十按自己风格装修,https://nn.lianjia.com/ershoufang/105103198195.html,2020-01-15 00:11:01
玉洞,良庆区,汉军五象一号,,159.6万,4室2厅1厨2卫,中楼层 (共25层),124.27㎡,暂无数据,暂无数据,框架结构,板塔结合,其他,暂无数据,有,两梯四户,暂无数据,北,2019-12-19,,70年,暂无数据,暂无数据,商品房,舒适大四房，布局方正，采光好，视野好，看邕江,https://nn.lianjia.com/ershoufang/105103574419.html,2020-01-15 00:11:03
凤岭北,青秀区,江宇都会明珠,,152万,3室2厅1厨2卫,高楼层 (共31层),116㎡,暂无数据,暂无数据,未知结构,暂无数据,其他,暂无数据,暂无数据,一梯四户,暂无数据,西南,2019-12-24,,70年,暂无数据,暂无数据,商品房,江宇都会明珠 3室2厅 152万,https://nn.lianjia.com/ershoufang/105103599095.html,2020-01-15 00:11:04
青秀万达,青秀区,绿地中央广场,,228万,3室2厅1厨2卫,高楼层 (共32层),122.73㎡,暂无数据,暂无数据,钢混结构,塔楼,毛坯,暂无数据,有,一梯两户,暂无数据,南,2019-07-06,,70年,暂无数据,暂无数据,商品房,青秀万达旁户型方正 高楼层 视野开阔,https://nn.lianjia.com/ershoufang/105102636516.html,2020-01-15 00:11:04
柳沙,青秀区,华发国宾壹号,,225万,4室2厅1厨2卫,低楼层 (共31层),142㎡,暂无数据,暂无数据,钢混结构,板塔结合,毛坯,暂无数据,有,两梯四户,暂无数据,南 北,2019-09-27,,70年,暂无数据,暂无数据,商品房,邕江之畔   华发国宾  毛坯大四房,https://nn.lianjia.com/ershoufang/105103096386.html,2020-01-15 00:11:05
凤岭北,青秀区,荣和大地一组团花园里,,375万,5室2厅1厨2卫,低楼层 (共18层),178.45㎡,暂无数据,暂无数据,钢混结构,板塔结合,其他,暂无数据,有,一梯两户,暂无数据,南,2020-01-02,,70年,暂无数据,暂无数据,商品房,荣和大地一组团花园里 5室2厅 375万,https://nn.lianjia.com/ershoufang/105103642068.html,2020-01-15 00:11:05
白沙星光,江南区,金湾花城,,170万,3室2厅1厨2卫,中楼层 (共6层),110㎡,暂无数据,暂无数据,框架结构,板塔结合,简装,暂无数据,无,一梯三户,暂无数据,南,2019-01-17,,70年,暂无数据,暂无数据,商品房,精装3房2厅 带家电家具 有大露台170平米,https://nn.lianjia.com/ershoufang/105101947483.html,2020-01-15 00:11:11
