location,areaName,communityName,roomType,houseTotalMoney,houseType,houseFloor,houseBuildingArea,houseStructure,houseAgeLimit,houseBuildingStructure,houseBuildingType,houseDecoration,houseInnerArea,houseElevator,houseElevatorRatio,houseLastTrade,houseOrientation,houseListDate,housePledge,housePrivilege,houseUsage,housePrivilegeProperty,houseTradeProperty,houseTitle,houseUrl,CrawlTime
东葛路,青秀区,丰华利花苑,,140万,3室2厅1厨2卫,高楼层 (共7层),114㎡,平层,暂无数据,未知结构,暂无数据,其他,暂无数据,无,一梯两户,暂无数据,南,2020-01-10,,70年,暂无数据,暂无数据,商品房,老城区 双公园门口大三房，读东葛路。,https://nn.lianjia.com/ershoufang/105103685284.html,2020-01-14 23:18:12
经开区,江南区,恒大帝景,,110万,3室2厅1厨2卫,高楼层 (共32层),120.59㎡,平层,暂无数据,框架结构,板塔结合,其他,暂无数据,有,两梯四户,暂无数据,南,2020-01-09,,70年,暂无数据,暂无数据,商品房,恒大帝景 舒适大三房 精装修 高楼层,https://nn.lianjia.com/ershoufang/105103682459.html,2020-01-14 23:18:13
东盟商务区,青秀区,盛天华府,,215万,3室2厅1厨1卫,中楼层 (共26层),89.64㎡,平层,暂无数据,框架结构,塔楼,其他,暂无数据,有,一梯六户,暂无数据,南 北,2020-01-09,,70年,暂无数据,暂无数据,商品房,盛天华府 3室2厅 215万,https://nn.lianjia.com/ershoufang/105103679020.html,2020-01-14 23:18:15
琅东,青秀区,汇东郦城,,138万,3室2厅1厨2卫,低楼层 (共18层),89㎡,平层,暂无数据,钢混结构,板塔结合,其他,暂无数据,有,两梯四户,暂无数据,南,2020-01-09,,70年,暂无数据,暂无数据,商品房,琅东车站 地铁物业  汇东郦城 业主自住拎包入住,https://nn.lianjia.com/ershoufang/105103679248.html,2020-01-14 23:18:16
琅东,青秀区,汇东郦城,,113万,2室2厅1厨1卫,中楼层 (共30层),70㎡,暂无数据,暂无数据,钢混结构,板塔结合,精装,暂无数据,有,两梯五户,暂无数据,南,2019-08-13,,70年,暂无数据,暂无数据,商品房,凤岭南 汇东郦城 琅东车站旁 交通便利 户型方正,https://nn.lianjia.com/ershoufang/105102843306.html,2020-01-14 23:18:17
东盟商务区,青秀区,联盟新城,,250万,4室2厅1厨2卫,低楼层 (共12层),115㎡,平层,暂无数据,钢混结构,板塔结合,其他,暂无数据,有,两梯五户,暂无数据,东南,2020-01-08,,70年,暂无数据,暂无数据,商品房,红本在手  电梯房  业主诚心卖,https://nn.lianjia.com/ershoufang/105103675538.html,2020-01-14 23:18:20
东盟商务区,青秀区,联盟新城,,235万,3室2厅1厨1卫,中楼层 (共12层),114.98㎡,平层,暂无数据,钢混结构,板塔结合,其他,暂无数据,有,两梯五户,暂无数据,西南,2020-01-08,,70年,暂无数据,暂无数据,商品房,红本在手   满五唯一   电梯房,https://nn.lianjia.com/ershoufang/105103675810.html,2020-01-14 23:18:20
白沙星光,江南区,盛世江南,,84万,2室2厅1厨1卫,低楼层 (共15层),87.61㎡,暂无数据,暂无数据,钢混结构,平房,精装,暂无数据,有,两梯四户,暂无数据,东南,2019-12-02,,70年,暂无数据,暂无数据,商品房,房子保养很好，精装修，房子采光很好，户型方正,https://nn.lianjia.com/ershoufang/105103476365.html,2020-01-14 23:18:21
经开区,江南区,森林假日,,117万,3室2厅1厨2卫,低楼层 (共32层),98.9㎡,平层,暂无数据,框架结构,塔楼,精装,暂无数据,有,两梯四户,暂无数据,东南 南,2020-01-09,,70年,暂无数据,暂无数据,商品房,森林假日 3室2厅 117万,https://nn.lianjia.com/ershoufang/105103681872.html,2020-01-14 23:18:21
北湖北,西乡塘区,保利爱琴海,,120万,4室2厅1厨2卫,低楼层 (共33层),88.12㎡,平层,暂无数据,钢混结构,塔楼,其他,暂无数据,有,两梯四户,暂无数据,东南,2019-12-09,,70年,暂无数据,暂无数据,商品房,保利爱琴海 4室2厅 120万,https://nn.lianjia.com/ershoufang/105103516357.html,2020-01-14 23:18:24
